Unnamed: 0,11 / 12,11 / 13,11 / 14,11 / 15,11 / 16,11 / 17,11 / 18,11 / 19,11 / 20,11 / 21,11 / 22,11 / 23,11 / 24,11 / 25,11 / 26,11 / 27,11 / 28,11 / 29,11 / 30,12 / 1,12 / 2,12 / 3
11 / 12 측정,16.0,15.0,12.0,14.0,16.0,5.0,5.0,8.0,13.0,10.0,11.0,,,,,,,,,,,
,-2.0,3.0,3.0,6.0,1.0,-2.0,0.0,4.0,3.0,5.0,4.0,,,,,,,,,,,
11 / 13 측정,,,,14.0,16.0,5.0,5.0,8.0,14.0,12.0,9.0,11.0,,,,,,,,,,
,,,,6.0,1.0,-2.0,-1.0,4.0,4.0,1.0,2.0,7.0,,,,,,,,,,
11 / 14 측정,,,,,16.0,5.0,6.0,7.0,12.0,9.0,9.0,12.0,9.0,6.0,8.0,13.0,,,,,,
,,,,,1.0,-1.0,0.0,3.0,2.0,1.0,3.0,6.0,2.0,1.0,4.0,2.0,,,,,,
11 / 15 측정,,,,,16.0,5.0,6.0,6.0,12.0,9.0,10.0,12.0,10.0,8.0,11.0,8.0,12.0,,,,,
,,,,,1.0,-1.0,-1.0,1.0,1.0,2.0,5.0,9.0,1.0,2.0,5.0,3.0,1.0,,,,,
11 / 16 측정,,,,,,5.0,5.0,6.0,13.0,9.0,8.0,12.0,13.0,8.0,11.0,14.0,9.0,2.0,,,,
,,,,,,-2.0,-1.0,2.0,2.0,0.0,2.0,7.0,1.0,2.0,8.0,8.0,1.0,-7.0,,,,
11 / 17 측정,,,,,,,5.0,6.0,13.0,11.0,13.0,14.0,13.0,9.0,13.0,13.0,9.0,1.0,0.0,,,
,,,,,,,-1.0,2.0,1.0,2.0,5.0,9.0,1.0,5.0,7.0,6.0,-2.0,-3.0,-6.0,,,
11 / 18 측정,,,,,,,,7.0,13.0,12.0,12.0,13.0,12.0,6.0,14.0,15.0,6.0,1.0,4.0,12.0,,
,,,,,,,,2.0,1.0,2.0,6.0,9.0,0.0,2.0,11.0,3.0,-3.0,-4.0,1.0,4.0,,
11 / 19 측정,,,,,,,,,13.0,11.0,14.0,14.0,15.0,5.0,9.0,7.0,6.0,9.0,4.0,6.0,11.0,
,,,,,,,,,1.0,4.0,7.0,9.0,1.0,0.0,4.0,-1.0,3.0,-1.0,0.0,4.0,4.0,
11 / 20 측정,,,,,,,,,,11.0,14.0,14.0,15.0,6.0,6.0,8.0,5.0,8.0,6.0,4.0,11.0,13.0
,,,,,,,,,,4.0,7.0,9.0,5.0,-1.0,2.0,0.0,2.0,2.0,-1.0,1.0,6.0,1.0
11 / 21 측정,,,,,,,,,,,13.0,15.0,16.0,7.0,8.0,9.0,5.0,7.0,10.0,1.0,5.0,8.0
,,,,,,,,,,,6.0,9.0,5.0,0.0,3.0,1.0,1.0,3.0,-1.0,-3.0,3.0,-2.0
11 / 22 측정,,,,,,,,,,,,15.0,16.0,9.0,9.0,8.0,7.0,12.0,6.0,0.0,6.0,9.0
,,,,,,,,,,,,9.0,6.0,1.0,4.0,-1.0,3.0,5.0,-4.0,-3.0,3.0,-3.0
11 / 23 측정,,,,,,,,,,,,,16.0,8.0,8.0,9.0,6.0,12.0,7.0,5.0,11.0,9.0
,,,,,,,,,,,,,7.0,1.0,4.0,-1.0,1.0,3.0,2.0,0.0,3.0,-2.0
